variable,wind_speed,wind_speed,pressure,temperature,roughness_length
height,10,100,0,2,0
time,,,,,
2015-01-09 20:00:00+00:00,1.060834,1.425304,101142.38,292.56967,0.09042667
2015-01-09 21:00:00+00:00,0.680517,0.885239,101106.98,294.08817,0.09029007
2015-01-09 22:00:00+00:00,0.38893166,0.6952568,101055.46,296.56796,0.09021652
2015-01-09 23:00:00+00:00,0.9261589,0.54808617,101000.14,296.84656,0.09020601
2015-01-10 00:00:00+00:00,2.016954,2.0406752,100930.92,297.0411,0.09021127
2015-01-10 01:00:00+00:00,2.7400887,3.0807,100916.484,297.2892,0.090213895
2015-01-10 02:00:00+00:00,3.3120294,3.8974223,100885.3,296.7199,0.09021915
2015-01-10 03:00:00+00:00,4.015829,4.896044,100802.164,296.91736,0.09021915
2015-01-10 04:00:00+00:00,4.6017976,5.8385262,100700.18,296.98126,0.09021915
2015-01-10 05:00:00+00:00,4.8644047,6.394779,100630.11,295.90195,0.09021915
2015-01-10 06:00:00+00:00,4.931957,6.6748195,100595.98,295.38275,0.09021915
2015-01-10 07:00:00+00:00,4.803043,7.0152054,100541.08,294.65402,0.09021652
2015-01-10 08:00:00+00:00,4.4762926,7.435702,100528.96,292.27206,0.09021652
2015-01-10 09:00:00+00:00,4.096354,7.090533,100524.22,291.87546,0.090213895
2015-01-10 10:00:00+00:00,3.804805,6.5672517,100477.76,291.21695,0.090213895
2015-01-10 11:00:00+00:00,2.8608117,5.541558,100411.484,290.76566,0.09020864
2015-01-10 12:00:00+00:00,2.770501,5.570933,100430.34,290.74783,0.09020864
2015-01-10 13:00:00+00:00,3.0650232,6.1668816,100371.766,290.43698,0.09020864
2015-01-10 14:00:00+00:00,3.0287964,6.1644955,100340.58,289.42618,0.09020864
2015-01-10 15:00:00+00:00,3.0044725,6.1473947,100304.44,289.1332,0.09020864
2015-01-10 16:00:00+00:00,2.989321,6.0717545,100322.984,288.8195,0.09021127
2015-01-10 17:00:00+00:00,2.7985997,5.782147,100330.78,288.25308,0.09020864
2015-01-10 18:00:00+00:00,2.9321766,5.126134,100357.54,288.5852,0.09020864
2015-01-10 19:00:00+00:00,2.707003,3.974923,100413.91,289.21838,0.09020864
2015-01-10 20:00:00+00:00,2.4644327,3.277678,100424.234,292.23465,0.09020864
2015-01-10 21:00:00+00:00,2.084345,2.7948928,100421.28,292.91217,0.09021915
2015-01-10 22:00:00+00:00,0.25662738,0.5310558,100448.68,295.41382,0.09020601
2015-01-10 23:00:00+00:00,1.4470792,1.5407909,100387.57,295.88873,0.09020864
2015-01-11 00:00:00+00:00,1.8092134,2.165515,100366.18,296.52765,0.09020864
2015-01-11 01:00:00+00:00,1.625078,2.0642781,100338.05,296.73834,0.09021652
2015-01-11 02:00:00+00:00,1.9213651,2.4453764,100297.164,296.81836,0.09020864
2015-01-11 03:00:00+00:00,2.4616098,3.1828494,100240.695,296.87766,0.09020864
2015-01-11 04:00:00+00:00,3.302278,4.3704133,100193.28,296.7579,0.09020864
2015-01-11 05:00:00+00:00,4.2504835,5.6541305,100171.89,296.42865,0.09021127
2015-01-11 06:00:00+00:00,4.404271,5.9025807,100167.89,296.5075,0.09021127
2015-01-11 07:00:00+00:00,4.033579,5.53392,100163.88,296.4517,0.09021127
2015-01-11 08:00:00+00:00,4.0796,6.3200283,100169.89,294.6989,0.09021127
2015-01-11 09:00:00+00:00,4.250331,6.9384522,100219.195,294.21768,0.09021652
2015-01-11 10:00:00+00:00,3.5923371,6.4027147,100227.1,293.23108,0.09021652
